SSBB	MLBAM	NL	pos	h	age	team	firstName	lastName	1B	2B	3B	SS	OF	osbAL	ocsAL	osbNL	ocsNL	BAvR	OBvR	SLvR	BAvL	OBvL	SLvL
1690	672642	690	OF	B	26	Mil	Steward	Berroa					2.15					-4	0	-3	10	1	7
1691	682997	691	OF	L	25	Cin	Tyler	Callihan					2.08					3	6	13	-11	-22	-44
1692	675659	692	OF	B	28	Mil	Greg	Jones					2.10					-4	0	-2	9	1	6
1693	681909	693	OF	R	29	ChN	Justin	Dean					2.11					-2	-5	-5	4	11	12
1694	592325	694	OF	L	33	Atl	Ben	Gamel					2.04					3	6	12	-10	-22	-42
1695	694175	695	OF	R	27	Phi	Pedro	Leon					2.08					-1	-5	-4	3	11	10
1696	702258	696	OF	R	22	Ari	Druw	Jones					2.10					-2	-5	-5	4	11	12
1697	815154	697	OF	L	19	Ari	Slade	Caldwell					2.10					3	7	13	-12	-23	-45
1698	814439	698	OF	R	23	Ari	Ryan	Waldschmidt					2.10					-2	-5	-5	4	11	12
1699	829053	699	OF	B	17	Atl	Diego	Tornes					2.10					-3	0	-3	9	0	7
1700	828255	700	OF	L	21	ChN	Ethan(round/1/2025/MLB/draft)	Conrad					2.10					3	7	13	-12	-23	-45
1701	823807	701	OF	L	22	ChN	Kane(round/2/2025/MLB/draft)	Kepley					2.10					3	7	13	-12	-23	-45
1702	699302	702	OF	L	22	Cin	Hector	Rodriguez					2.10					3	7	13	-12	-23	-45
1703	694249	703	OF	B	23	Col	Cole	Carrigg					2.10					-3	0	-3	9	0	7
1704	806978	704	OF	R	20	Col	Robert	Calaz					2.10					-2	-5	-5	4	11	12
1705	809707	705	OF	R	22	Col	Charlie	Condon					2.10					-2	-5	-5	4	11	12
1706	694514	706	OF	L	24	Col	Sterlin	Thompson					2.10					3	7	13	-12	-23	-45
1707	803284	707	OF	L	22	Col	Max(round/2/2025/MLB/draft)	Belyeu					2.10					3	7	13	-12	-23	-45
1708	800543	708	OF	L	20	LAD	Josue	DePaula					2.10					3	7	13	-12	-23	-45
1709	814307	709	OF	L	21	LAD	Zyhir	Hope					2.10					3	7	13	-12	-23	-45
1710	701527	710	OF	R	22	LAD	Mike	Sirota					2.10					-2	-5	-5	4	11	12
1711	696486	711	OF	L	23	LAD	James	Tibbs					2.10					3	7	13	-12	-23	-45
1712	808234	712	OF	R	20	LAD	Eduardo	Quintero					2.10					-2	-5	-5	4	11	12
1713	669899	713	OF	L	28	LAD	Ryan	Ward					2.10					3	7	13	-12	-23	-45
1714	804560	714	OF	L	22	LAD	Charles(round/1A/2025/MLB/draft)	Davalan					2.10					3	7	13	-12	-23	-45
1715	703563	715	OF	L	20	Mia	PJ	Morlando					2.10					3	7	13	-12	-23	-45
1716	694580	716	OF	R	23	Mia	Kemp	Alderman					2.10					-2	-5	-5	4	11	12
1717	703448	717	OF	L	22	Mia	Cam(round/1A/2025/MLB/draft)	Cannarella					2.10					3	7	13	-12	-23	-45
1718	703680	718	OF	L	22	Mia	Brandon(round/2/2025/MLB/draft)	Compton					2.10					3	7	13	-12	-23	-45
1719	815520	719	OF	L	19	Mil	Braylon	Payne					2.10					3	7	13	-12	-23	-45
